Books	First	Theme	Authors	Topic	words	Theme
Герой нашего времени	"Кто такой ""лишний человек"" в русской литературе? "	Внутренний конфликт, лишний человек	Лермонтов	Topic 10	['печорин', 'герой', 'свой', 'роман', 'лермонтов', 'становиться', 'любовь', 'образ', 'отец', 'характер', 'бэла', 'вера', 'понимать', 'молодой', 'письмо', 'мери', 'жить', 'повесть', 'говорить', 'сила', 'общество', 'максим', 'душа', 'лесков', 'мир', 'находить', 'хороший', 'поколение', 'психологический', 'главный']	
Евгений Онегин	"Кто такой ""лишний человек"" в русской литературе? "	Внутренний конфликт, лишний человек, любовь	Пушкин 	Topic 11	['татьяна', 'пушкин', 'свой', 'онегин', 'любовь', 'любить', 'роман', 'русский', 'образ', 'девушка', 'природа', 'чувство', 'душа', 'героиня', 'женщина', 'красота', 'ольга', 'евгений', 'милый', 'женский', 'поэт', 'характер', 'автор', 'мир', 'идеал', 'прекрасный', 'сердце', 'ларина', 'душевный', 'зима']	
Мертвые души, Ревизор	"Поэма Н.В. Гоголя ""Мертвые души"" - величайшее произведение мировой литературы"	коррупция, расслоение общества	Гоголь	Topic 12	['гоголь', 'душа', 'чичиков', 'мертвый', 'чиновник', 'поэма', 'россия', 'свой', 'ревизор', 'комедия', 'образ', 'помещик', 'город', 'герой', 'н', 'городничий', 'показывать', 'хлестаков', 'являться', 'давать', 'плюшкин', 'характер', 'манилов', 'персонаж', 'писатель', 'общество', 'говорить', 'произведение', 'автор', 'самый']	
К Чаадаеву	Товарищ, верь: взойдет она, Звезда пленительного счастья	Декабристы	Пушкин, Чаадаев	Topic 13	['пушкин', 'свобода', 'поэт', 'свой', 'народ', 'друг', 'стихотворение', 'россия', 'декабрист', 'дружба', 'русский', 'рабство', 'чаадаев', 'надежда', 'отчизна', 'написать', 'призывать', 'молодой', 'отечество', 'царь', 'лицей', 'сердце', 'становиться', 'верить', 'посвящать', 'дух', 'родина', 'должный', 'вольность', 'закон']	
Евгений Онегин	Жизнь русского дворянина-повесы – какое прекрасное зеркало русского общества 19 века.	Любовь, социальный вопрос, лишний человек	Пушкин 	Topic 14	['онегин', 'роман', 'свой', 'евгений', 'пушкин', 'герой', 'ленский', 'общество', 'татьяна', 'любовь', 'светский', 'чувство', 'друг', 'свет', 'дворянство', 'душа', 'любить', 'автор', 'ум', 'образ', 'дворянский', 'высокий', 'русский', 'главный', 'писать', 'белинский', 'бал', 'жить', 'душевный', 'находить']	
Дикий помещик, История одного города	Сказки – основная форма социальной сатиры в русской литературе	Народ и власть	Салтыков-Щедрин	Topic 15	['сказка', 'щедрин', 'салтыков', 'мужик', 'генерал', 'народ', 'помещик', 'живаго', 'орел', 'волк', 'свой', 'пескарь', 'медведь', 'заяц', 'юрий', 'творчество', 'карась', 'зверь', 'друг', 'показывать', 'топтыгин', 'выступать', 'птица', 'остров', 'писатель', 'меценат', 'воеводство', 'голод', 'дерево', 'съедать']	
Преступление и наказание	Очищение души происходит через страдание	душа, страдание, преступление и наказание	Достоевский	Topic 16	['раскольников', 'свой', 'достоевский', 'преступление', 'роман', 'герой', 'соня', 'теория', 'наказание', 'мир', 'душа', 'убийство', 'становиться', 'самый', 'убивать', 'человеческий', 'идея', 'страдание', 'раскольник', 'зло', 'мармеладов', 'жить', 'понимать', 'ф', 'помогать', 'видеть', 'нравственный', 'главный', 'ребенок', 'страшный']	
Невский проспект, Портрет	Образ Петербурга – мрачного величественного города – навсегда увековечен в русской литературе	Образ Петербурга	Гоголь, Достоевский	Topic 17	['город', 'петербург', 'свой', 'желтый', 'иван', 'васильевич', 'достоевский', 'гоголь', 'дом', 'среда', 'цвет', 'произведение', 'красота', 'лицо', 'комната', 'сад', 'старец', 'становиться', 'роман', 'невский', 'показывать', 'вишневый', 'пошлость', 'писатель', 'душа', 'лестница', 'н', 'варенька', 'жить', 'образ']	
Иcтория Пугачева	Исторические произведения – интереснейшая страница русской литературы	Иcтория Пугачева	Пушкин 	Topic 18	['свой', 'герой', 'роман', 'произведение', 'гринев', 'писатель', 'пугачев', 'автор', 'повесть', 'мцыри', 'становиться', 'образ', 'жить', 'гринева', 'видеть', 'русский', 'самый', 'делать', 'крестьянин', 'показывать', 'говорить', 'рассказ', 'знать', 'слово', 'ничто', 'деревня', 'колхоз', 'дочка', 'петр', 'читатель']	
Мертвые души	Образы помещиков и крестьян противопоставлены во множестве романов.	образы помещиков	Гоголь	Topic 19	['помещик', 'свой', 'манилов', 'душа', 'коробочка', 'мертвый', 'иван', 'гоголь', 'поэма', 'ноздрев', 'образ', 'плюшкин', 'герой', 'дом', 'васильевич', 'россия', 'становиться', 'русский', 'крепостной', 'общество', 'крестьянин', 'видеть', 'говорить', 'лицо', 'произведение', 'собакевич', 'бал', 'помещица', 'сатира', 'хозяйство']	
Поэзия Пушкина, Тютчева, Фета	Лирический герой – частый субъект лирики у русских поэтов	Лирические герои поэтов	Фет, Тютчев, Лермонтов	Topic 20	['поэт', 'стихотворение', 'поэзия', 'пушкин', 'природа', 'любовь', 'свой', 'стих', 'лирика', 'мир', 'чувство', 'творчество', 'душа', 'тема', 'любить', 'строка', 'русский', 'поэтический', 'образ', 'фет', 'тютчев', 'лермонтов', 'сердце', 'красота', 'слово', 'друг', 'писать', 'маяковский', 'становиться', 'любовный']	
двенадцать	Творчество писателей рубежа 19-20 века отражало всю трагичность времени, времени подготовки и осуществления революции	Революция	Блок	Topic 21	['блок', 'мир', 'россия', 'революция', 'свой', 'прекрасный', 'страна', 'дама', 'народ', 'герой', 'путь', 'любовь', 'тайна', 'стих', 'поэт', 'незнакомка', 'цикл', 'мечта', 'идеал', 'реальный', 'русский', 'проходить', 'интеллигенция', 'творчество', 'судьба', 'полный', 'восприятие', 'шукшин', 'русь', 'идти']	
стихи Леромнтова и Маяковского	Власть народа или власть от бога? Противопоставление двух парадигм отражено в творчестве русских писателей	Народ и власть	Лермонтов, Маяковский, Пушкин	Topic 22	['поэт', 'свой', 'русский', 'лермонтов', 'герой', 'автор', 'маяковский', 'мир', 'произведение', 'поэма', 'пушкин', 'новый', 'образ', 'россия', 'писать', 'душа', 'творчество', 'стихотворение', 'слово', 'век', 'высокий', 'общество', 'самый', 'народ', 'сила', 'жить', 'давать', 'социальный', 'становиться', 'художественный']	
Война и мир	Судьба человека на войне, любовь к родине, любовь к матери – темы, интересующие Толстого	судьба русских семей на войне, любовь	Толстой	Topic 23	['война', 'свой', 'роман', 'герой', 'судьба', 'народ', 'русский', 'сила', 'писатель', 'мир', 'самый', 'событие', 'говорить', 'толстой', 'произведение', 'смерть', 'народный', 'становиться', 'показывать', 'великий', 'образ', 'военный', 'армия', 'солдат', 'история', 'идея', 'автор', 'шолохов', 'повесть', 'власть']	
Мертвые души	Образы помещиков и крестьян противопоставлены во множестве романов.	проблема души	Гоголь	Topic 24	['чичиков', 'герой', 'гоголь', 'свой', 'россия', 'айвенго', 'говорить', 'тонкий', 'ровена', 'душа', 'город', 'леди', 'представлять', 'отец', 'оставаться', 'ноздрев', 'мертвый', 'поэма', 'черта', 'образ', 'вещь', 'какой-то', 'узнавать', 'толстый', 'копейка', 'сын', 'подлец', 'делец', 'старый', 'писать']	
Война и мир	Судьба человека на войне, любовь к родине, любовь к матери – темы, интересующие Толстого	судьба русских семей на войне, любовь	Толстой	Topic 25	['андрей', 'пьер', 'князь', 'толстой', 'свой', 'болконский', 'война', 'наташа', 'герой', 'мир', 'теркин', 'безухов', 'понимать', 'друг', 'роман', 'счастие', 'поэма', 'василий', 'самый', 'жить', 'любовь', 'становиться', 'л', 'взгляд', 'солдат', 'смысл', 'семья', 'отец', 'старый', 'видеть']	
Горе от ума	Блажен, кто верует, тепло ему на свете!	образы помещиков, расслоение общества, лишний человек	Грибоедов	Topic 26	['чацкий', 'общество', 'свой', 'комедия', 'ум', 'грибоедов', 'софья', 'век', 'герой', 'образ', 'молчалин', 'горе', 'марья', 'фамусов', 'фамусовский', 'русский', 'фамус', 'скалозуб', 'говорить', 'служить', 'княжна', 'умный', 'москва', 'дело', 'являться', 'дворянский', 'становиться', 'черта', 'мир', 'лицо']	
На дне	Тяжелая жизнь русского народа и социальное расслоение – темы, интересующие многих русских писателей	Социальное расслоение	Горький	Topic 27	['горький', 'свой', 'пьеса', 'правда', 'герой', 'дно', 'писатель', 'слово', 'повесть', 'самый', 'жить', 'мир', 'становиться', 'проблема', 'сатин', 'ночлежка', 'сила', 'лук', 'лука', 'любовь', 'произведение', 'душа', 'видеть', 'данко', 'ложь', 'рассказ', 'говорить', 'сильный', 'вопрос', 'человеческий']	
Что делать	Принципы нового общества, разумного эгоизма и сциенцизма находят свое отражение в русской литературе. 	Социальное расслоение	чернышевский	Topic 28	['базаров', 'роман', 'свой', 'отец', 'тургенев', 'чернышевский', 'кирсанов', 'ребенок', 'аркадий', 'герой', 'петрович', 'новый', 'павел', 'поколение', 'взгляд', 'образ', 'отношение', 'делать', 'говорить', 'любовь', 'общество', 'считать', 'труд', 'народ', 'понимать', 'автор', 'видеть', 'дело', 'революционный', 'разночинец']	
Маленькие трагедии	Одна из ярчайших тем русской литературы – судьба маленького человека	судьба маленького человека	Пушкин 	Topic 29	['свой', 'повесть', 'маленький', 'шинель', 'герой', 'сальери', 'акакиевич', 'акакий', 'писатель', 'тема', 'куприн', 'произведение', 'моцарт', 'мир', 'бунин', 'русский', 'ромашов', 'рассказ', 'становиться', 'конец', 'творчество', 'образ', 'самый', 'человеческий', 'новый', 'солдат', 'башмачкин', 'россия', 'офицер', 'высокий']	
